phrasal_verb,example,description
add up to,All can add up to a bitter pill to swallow.,"['if separate amounts add up to a total amount, together they form that total', 'to combine to produce a particular result or effect']"
add up to,All that can add up to a significant weight loss.,"['if separate amounts add up to a total amount, together they form that total', 'to combine to produce a particular result or effect']"
adhere to,We must strictly adhere to the terms of the contract.,"['to obey a rule, law, agreement etc', 'to support or believe in an idea, plan, opinion etc']"
adhere to,"His followers adhere to a blend of Buddhist, Hindu, and Christian teachings.","['to obey a rule, law, agreement etc', 'to support or believe in an idea, plan, opinion etc']"
adjourn to,Let’s adjourn to the bar.,['to leave one place and move to another']
agree with,I don’t agree with corporal punishment in schools.,"['if a situation or way of living agrees with you, you enjoy it and feel happy and relaxed', 'if something such as food or drink agrees with you, it does not make you feel ill', 'to think that something is the right thing to do', 'when a verb group changes according to whether its subject is singular or plural. In English, this affects only the simple present, which adds an ‘s’ to the infinitive in the third person singular: ‘I want’ but ‘she wants’. The verbs ‘be’, ‘have’, and ‘do’ are irregular: ‘I am’, ‘you are’, ‘she is’; ‘I have’, ‘she has’; and ‘I do’, ‘she does’. In the sentences ‘A thorough search was carried out’, ‘It doesn’t matter’, and ‘The course has given me more confidence’, the verb groups ‘was carried out’, ‘doesn’t matter’, and ‘has given’ all agree with their subjects.']"
agree with,Stop taking the medicine if it doesn’t agree with you.,"['if a situation or way of living agrees with you, you enjoy it and feel happy and relaxed', 'if something such as food or drink agrees with you, it does not make you feel ill', 'to think that something is the right thing to do', 'when a verb group changes according to whether its subject is singular or plural. In English, this affects only the simple present, which adds an ‘s’ to the infinitive in the third person singular: ‘I want’ but ‘she wants’. The verbs ‘be’, ‘have’, and ‘do’ are irregular: ‘I am’, ‘you are’, ‘she is’; ‘I have’, ‘she has’; and ‘I do’, ‘she does’. In the sentences ‘A thorough search was carried out’, ‘It doesn’t matter’, and ‘The course has given me more confidence’, the verb groups ‘was carried out’, ‘doesn’t matter’, and ‘has given’ all agree with their subjects.']"
alight on,Her eyes alighted on an extraordinary sight.,['to suddenly notice or think of something']
allow for,"Beyond that, we have the strongest squad here available to us, allowing for injuries.",['to consider something when making a plan or calculation']
allow for,Neither theory allows for the other.,['to consider something when making a plan or calculation']
allow of,"The possibility must be allowed of concepts which are not concepts of any actual thing, and of names which express a sense but have no denotation.",['to show that something is possible']
allow of,The evidence allows of no other interpretation.,['to show that something is possible']
angle for,She didn’t want Ron thinking that she was angling for sympathy.,['to try to make someone give you something without asking for it directly']
answer back,I'm not going to answer back.,['to reply rudely to someone who has more authority than you']
answer back,"A survey of 2,000 parents suggests this is the age when children answer back and become influenced by their peers.",['to reply rudely to someone who has more authority than you']
answer for,But this week he has a lot to answer for.,"['to agree to be responsible for something', 'to be responsible for a lot of bad things that have happened', 'used for emphasizing that you cannot say what someone else will do or think about something']"
answer for,He will have to answer for the detailed handling of the operation.,"['to agree to be responsible for something', 'to be responsible for a lot of bad things that have happened', 'used for emphasizing that you cannot say what someone else will do or think about something']"
answer to,a small boy answering to the name of Andrew,"['if an animal answers to the name of something, it comes to you when you call it this name', 'to have a particular name', 'to have to explain to someone why you did something']"
answer to,I answer to no one except the president.,"['if an animal answers to the name of something, it comes to you when you call it this name', 'to have a particular name', 'to have to explain to someone why you did something']"
arrive at,The two studies arrive at very different conclusions.,"['to reach a result, decision, or solution to a problem']"
arrive at,How did they arrive at that figure?,"['to reach a result, decision, or solution to a problem']"
ask after,I met Bob and he asked after you.,['to ask for news about someone']
ask after,`I thought you might be calling to ask after that guy you sent us.,['to ask for news about someone']
ask around,"I asked around, but nobody had seen him for days.",['to ask several people for information or advice']
ask around,"It may only be known by those already working in your chosen field, so ask around.",['to ask several people for information or advice']
ask for,Anyone who drives while they’re drunk is just asking for it.,"['to behave in a way that makes it likely that a particular unpleasant thing will happen to you', 'to say that you want someone to come and speak to you', 'to speak or write to someone because you want them to give you something', 'used for emphasizing that something is so good that nothing could be better']"
ask for,He’s always reluctant to ask for anyone’s help.,"['to behave in a way that makes it likely that a particular unpleasant thing will happen to you', 'to say that you want someone to come and speak to you', 'to speak or write to someone because you want them to give you something', 'used for emphasizing that something is so good that nothing could be better']"
ask out,Let her breathe the air outside of Sanctuary for a time and then ask her the same question.,"['to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them']"
ask out,"We're friends, so I'm going to keep my temper and ask you what you're suggesting.","['to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them']"
associate with,"While she was in Paris, she associated with many well-known artists.","['to say publicly that you support someone or agree with something', 'to spend time with someone']"
attend to,He likes work that requires him to attend to a lot of detail.,"['to deal with something or someone', 'to serve a customer in a shop, restaurant etc']"
attend to,We still have a number of other matters to attend to.,"['to deal with something or someone', 'to serve a customer in a shop, restaurant etc']"
average out,"Total contributions average out at over £1,000 a week.","['to calculate the average of a set of numbers or amounts', 'to have a particular number or amount as an average']"
awaken to,Someone needed to awaken Gavin to the fact that his marriage was in danger.,"['to begin to notice something, or to make someone begin to notice something, especially danger']"
awaken to,It took them many years to awaken to the dangers they were facing.,"['to begin to notice something, or to make someone begin to notice something, especially danger']"
back away,The photo showed a woman backing away from a man with a gun.,"['to gradually become less involved in something', 'to move away backwards from someone, for example because you are afraid']"
back away,The World Bank is backing away from big infrastructure projects.,"['to gradually become less involved in something', 'to move away backwards from someone, for example because you are afraid']"
back down,How do we get him back down there?,"['to stop asking for something, or to stop saying that you will do something, because a lot of people oppose you']"
back down,We will not back down on the decision to strike.,"['to stop asking for something, or to stop saying that you will do something, because a lot of people oppose you']"
back off,"Back off, will you? I’ll tell you when I’m ready!","['to move backwards in order to get further away from something', 'to stop criticizing someone or telling them what to do']"
back off,Everyone back off and let the doctor through.,"['to move backwards in order to get further away from something', 'to stop criticizing someone or telling them what to do']"
back onto,a field that backs onto a railway line,"['if a building, garden etc backs onto a place, that place is directly behind it']"
back out,"He brushed it back out of his eyes, intrigued enough to say: `Yes, once.",['to decide not to do something you agreed to do']
back out,"He doesn't want her back out of love, or out of his desperation to make a good album.",['to decide not to do something you agreed to do']
back out of,We’re hoping that no one will back out of the deal.,['to decide not to do something you agreed to do']
back out of,I promised to help and I’m not backing out now.,['to decide not to do something you agreed to do']
back up,I’ll back the car up the driveway.,"['if a system backs up, or if it is backed up, it has slowed down or stopped working because there is too much of something for it to deal with', 'if a toilet, sink, or drain backs up, or if it is backed up, water cannot flow through it because something is blocking it', 'if traffic backs up, or if it is backed up, the vehicles are in a long line and waiting to continue moving', 'to give support to someone by telling other people that you agree with them', 'to make a car go backwards', 'to make a copy of information on your computer', 'to move backwards a short distance', 'to show that an explanation or belief is probably true', 'used for telling someone to return to something that was said earlier']"
back up,All the evidence backs up her story.,"['if a system backs up, or if it is backed up, it has slowed down or stopped working because there is too much of something for it to deal with', 'if a toilet, sink, or drain backs up, or if it is backed up, water cannot flow through it because something is blocking it', 'if traffic backs up, or if it is backed up, the vehicles are in a long line and waiting to continue moving', 'to give support to someone by telling other people that you agree with them', 'to make a car go backwards', 'to make a copy of information on your computer', 'to move backwards a short distance', 'to show that an explanation or belief is probably true', 'used for telling someone to return to something that was said earlier']"
bag up,They’ll only accept coins that have been bagged up.,['same as bag']
bail out,Investors bailed out of high-tech stocks as prices plunged.,"['to empty water from a boat using a small container', 'to escape from a plane by parachute', 'to give money to a court when someone is allowed to stay out of prison while they wait for their trial', 'to help a person or organization that is having problems, especially financial problems', 'to leave a project, situation, or relationship, especially when it becomes difficult']"
bail out,The government has already bailed the project out once before.,"['to empty water from a boat using a small container', 'to escape from a plane by parachute', 'to give money to a court when someone is allowed to stay out of prison while they wait for their trial', 'to help a person or organization that is having problems, especially financial problems', 'to leave a project, situation, or relationship, especially when it becomes difficult']"
bail out of,Investors bailed out of high-tech stocks as prices plunged.,"['to empty water from a boat using a small container', 'to escape from a plane by parachute', 'to give money to a court when someone is allowed to stay out of prison while they wait for their trial', 'to help a person or organization that is having problems, especially financial problems', 'to leave a project, situation, or relationship, especially when it becomes difficult']"
bail out of,My father got a lawyer and bailed me out.,"['to empty water from a boat using a small container', 'to escape from a plane by parachute', 'to give money to a court when someone is allowed to stay out of prison while they wait for their trial', 'to help a person or organization that is having problems, especially financial problems', 'to leave a project, situation, or relationship, especially when it becomes difficult']"
balance out,The tangy fruit balances out the creaminess of the sauce.,['same as balance']
balance out,Don’t worry – it’ll all balance out in the end.,['same as balance']
balance up,We need to balance up inequality of treatment between men and women.,['to make two different things equal in amount or value']
band together,But ugly people do not band together: there is no conscious group formation around the idea of ugly.,['to come together as a group in order to achieve something']
band together,Their threat: that they will band together and protect themselves from Chinese imports with tariffs and other measures.,['to come together as a group in order to achieve something']
bang on,Is she still banging on about the neighbours?,['to talk about something for a long time in a boring and annoying way']
bang on,My look is set to be bang on trend.,['to talk about something for a long time in a boring and annoying way']
bang on about,Is she still banging on about the neighbours?,['to talk about something for a long time in a boring and annoying way']
bang up,He spent seven years banged up in a prison cell.,"['to damage something such as a vehicle', 'to put someone in prison']"
bang up,How did your truck get all banged up?,"['to damage something such as a vehicle', 'to put someone in prison']"
bank in,"The dogs have been vaccinated now, and we have banked in the money to the vet directly.",['to pay money into a bank']
bank on,She is upbeat about the polls and is banking on an unpopular president and an unpopular war.,['to depend on something happening or on someone doing something']
bank on,They’re banking on him to save the match.,['to depend on something happening or on someone doing something']
bank up,Soil was banked up against the wall.,"['to make something into a pile', 'to put a lot of coal onto a fire so that it will burn slowly and for a long time']"
bank up,"Before going to bed, she banked up the fire.","['to make something into a pile', 'to put a lot of coal onto a fire so that it will burn slowly and for a long time']"
bargain on,She’s bargaining on me changing my mind.,"['to expect something to happen, often because something else depends on it']"
barge in,The kids just barge in without knocking.,"['to enter a room suddenly and noisily, usually interrupting someone in a rude way']"
barge in,He just barged in on us in the middle of a meeting.,"['to enter a room suddenly and noisily, usually interrupting someone in a rude way']"
base on,He bases his designs on Roman mosaics.,"['to use particular ideas or facts to make a decision, do a calculation, or develop a theory', 'to use something as a model for a film, piece of writing, or work of art']"
base on,The prosecution’s case is based largely on evidence from ex-members of the gang.,"['to use particular ideas or facts to make a decision, do a calculation, or develop a theory', 'to use something as a model for a film, piece of writing, or work of art']"
bash away at,She’s still bashing away at her last chapter.,['to continue to work hard on something']
bash on,I’d better bash on with this – I’ll see you later.,['to continue to do something when you would prefer to stop']
batter down,Police battered down her door and found the girl.,['to break a door or gate in order to get through it']
batter down,Some escaped after a bouncer battered down a partition wall.,['to break a door or gate in order to get through it']
bear down,I can't have a wobbly surface when I'm trying to bear down.,"['to move quickly towards someone in a determined and threatening way', 'to push or press downwards']"
bear down,I could see a police car bearing down on us.,"['to move quickly towards someone in a determined and threatening way', 'to push or press downwards']"
bear down on,I could see a police car bearing down on us.,"['to move quickly towards someone in a determined and threatening way', 'to push or press downwards']"
bear down on,It’s a natural instinct for a woman giving birth to bear down.,"['to move quickly towards someone in a determined and threatening way', 'to push or press downwards']"
bear on,Do you have any information bearing on his disappearance?,['to be connected with something or to influence it']
bear out,I always said – and Rick will bear me out – that this wouldn’t work.,['to show that something is true or that someone is telling the truth']
bear out,Scientific evidence bears out the claim that stress and disease are linked.,['to show that something is true or that someone is telling the truth']
bear up,A few nights ago during the course of a dinner I got an insight into how he is bearing up.,['to behave in a brave way in a very sad or difficult situation']
bear up,"Asked how he was bearing up under the mounting questions about his economic competence, he was dismissive of the sceptics.",['to behave in a brave way in a very sad or difficult situation']
bear up under,Let’s see how he bears up under the pressure.,['to behave in a brave way in a very sad or difficult situation']
bear with,But bear with us here.,['used as a polite way of asking someone to be patient while you do or finish something']
bear with,"I know it's boring, but bear with me for a bit.",['used as a polite way of asking someone to be patient while you do or finish something']
beat down,"As the sun beat down, a beach ball was launched along the terrace.","['if the rain beats down, it rains very hard', 'if the sun beats down, it shines very brightly making the weather very hot', 'to persuade someone to sell you something at a lower price than their first offer']"
beat down,I could feel the sun beating down on my head.,"['if the rain beats down, it rains very hard', 'if the sun beats down, it shines very brightly making the weather very hot', 'to persuade someone to sell you something at a lower price than their first offer']"
beat off,He had to beat the dogs off with a stick.,"['to prevent someone from physically attacking you by hitting them with your hands or with an object', 'to succeed in winning or gaining something from an opponent']"
beat off,Virgin Airlines must beat off stiff competition to win the contract.,"['to prevent someone from physically attacking you by hitting them with your hands or with an object', 'to succeed in winning or gaining something from an opponent']"
beat on,"According to the witness, the police ran up and started beating on him.",['to hurt someone by hitting them a lot of times']
beat out,He claims that the confession was beaten out of him.,"['to make a pattern of sounds by hitting an instrument or other object', 'to make someone tell you something by hitting them', 'to stop a fire from burning by hitting it with something', 'to succeed in winning or gaining something that someone else wants']"
beat out,drummers beating out a rhythm,"['to make a pattern of sounds by hitting an instrument or other object', 'to make someone tell you something by hitting them', 'to stop a fire from burning by hitting it with something', 'to succeed in winning or gaining something that someone else wants']"
beat up,"Kenneth would send him and he'd come like a beat-up, punch-drunk fighter; useless and straight into the trap.","['to blame or criticize yourself or someone else', 'to hurt someone by hitting or kicking them many times']"
beat up,"He and his henchman kidnapped and beat up a borrower who had ended up owing £250,000 in interest alone.","['to blame or criticize yourself or someone else', 'to hurt someone by hitting or kicking them many times']"
beat up on,I’m not here to beat up on single parents.,['same as beat up']
beat up on,He and his brother are always beating up on each other.,['same as beat up']
beaver away,He was beavering away at his homework until after midnight.,"['if you beaver away at something, you work very hard at it']"
become of,Whatever became of the painting that used to be in your grandfather’s library?,"['used for asking what has happened to someone or something, because you have not seen them for a long time, or what will happen to them, because you are worried about them']"
become of,"If she is sent to prison, what will become of her children?","['used for asking what has happened to someone or something, because you have not seen them for a long time, or what will happen to them, because you are worried about them']"
bed down,Extra guests can bed down in neighbouring barns that sleep up to six.,"['to lie down, or to put someone else into a bed or another place to sleep']"
bed down,It was time to bed down for the night.,"['to lie down, or to put someone else into a bed or another place to sleep']"
beef up,He laughs at the suggestion that he used steroids to beef up for the role.,"['to increase or improve something, or to make it more interesting']"
beef up,We have beefed up security for his national tour.,"['to increase or improve something, or to make it more interesting']"
believe in,I’m beginning to think you actually believe in ghosts!,"['to feel confident that a person or organization is good or reliable', 'to think that an idea or a way of doing something is good or right', 'to think that someone or something exists']"
believe in,Some of his supporters have stopped believing in him.,"['to feel confident that a person or organization is good or reliable', 'to think that an idea or a way of doing something is good or right', 'to think that someone or something exists']"
belong to,She belongs to the school computer club.,"['if a particular time, aspect of life, way of thinking etc belongs to a particular group, they are the people who control it or who are the most suitable for it', 'if something belongs to someone, they deserve it or have a right to it', 'to be a member of an organization or club', 'to be owned by someone', 'to come from or be part of a group of similar things or people', 'to come from or be related to a particular time or place']"
belong to,This belongs to the same family of drugs as Prozac.,"['if a particular time, aspect of life, way of thinking etc belongs to a particular group, they are the people who control it or who are the most suitable for it', 'if something belongs to someone, they deserve it or have a right to it', 'to be a member of an organization or club', 'to be owned by someone', 'to come from or be part of a group of similar things or people', 'to come from or be related to a particular time or place']"
belt out,"`But who the thieves were, or how they got the belt out of the museum, no one can guess,"" Taro said unhappily.","['to shout or sing something loudly, or to play something loudly on a musical instrument']"
belt up,"After all it's no longer my house...' `Och, belt up ,' said Grey good-naturedly.","['to put on a seat belt in a car', 'used for telling someone to be quiet']"
belt up,"Oh, belt up ,"" whispered Alec, as he heard footsteps in the corridor.","['to put on a seat belt in a car', 'used for telling someone to be quiet']"
bid up,"Last week, they bid up the hush money we pay out to that bent inspector, an ""he closed us down in two places.","['to offer money for something in order to increase its price, and not because you want to buy it']"
big up,This time next week we’ll be bigging it up in Ibiza.,"['to enjoy yourself in a social situation, often by spending a lot of money', 'to praise or support someone or something in an enthusiastic way and attract attention to them by doing this']"
big up,It was an article bigging up some new DJ.,"['to enjoy yourself in a social situation, often by spending a lot of money', 'to praise or support someone or something in an enthusiastic way and attract attention to them by doing this']"
bill as,Electric cars are being billed as the automobiles of the future.,"['to advertise or describe someone or something in a particular way, especially in order to make them sound interesting or important']"
bind over,They were bound over to keep the peace.,"['if a court binds someone over, it warns them that they will be punished if they break the law again', 'to allow someone bail when they are waiting to appear in court']"
bite at,The animals might bite at your fingers if you put them through the fence.,['to try to bite something without in fact managing to bite it']
bite back,And he wanted to get some bite back into his forwards.,"['to react angrily to someone who has done or said something unpleasant to you', 'to stop yourself from saying what you think']"
bite back,But you need to bite back impatience to get good results from cash talks.,"['to react angrily to someone who has done or said something unpleasant to you', 'to stop yourself from saying what you think']"
bite into,The metal collar bit into his neck.,['to press hard into a surface']
bite off,I bit off a chunk of chocolate.,"['to separate something from the main part by biting', 'to try to do too much or something that is too hard for you']"
bite off,Are you sure you haven’t bitten off more than you can chew with this job?,"['to separate something from the main part by biting', 'to try to do too much or something that is too hard for you']"
black out,Half the pages in the report had been blacked out for security reasons.,"['to make a place dark by turning off all the lights, for example so that the enemy cannot see a place at night.', 'to prevent someone from reading or seeing something by covering it with something dark', 'to suddenly become unconscious']"
black out,He had blacked out as his car hit the tree.,"['to make a place dark by turning off all the lights, for example so that the enemy cannot see a place at night.', 'to prevent someone from reading or seeing something by covering it with something dark', 'to suddenly become unconscious']"
blank out,I don’t know what happened – I just blanked out.,"['if you blank out a feeling, memory, warning etc, you deliberately try not to think about it or try to forget it', 'same as blank', 'to hide or cover something so that you cannot see it']"
blank out,Some of the words had been blanked out.,"['if you blank out a feeling, memory, warning etc, you deliberately try not to think about it or try to forget it', 'same as blank', 'to hide or cover something so that you cannot see it']"
blast away,One night we had just dropped our bombs over Dusseldorf and the anti aircraft guns blasted away at us.,"['if music is blasting away, it is playing very loudly', 'to shoot at someone or something a lot of times']"
blast away,Machine guns were blasting away in the distance.,"['if music is blasting away, it is playing very loudly', 'to shoot at someone or something a lot of times']"
blend in,The new library blends in perfectly with the surrounding buildings.,"['if someone or something blends in, they are similar to the other people, objects, buildings etc around them, and so they seem appropriate or you do not notice them']"
blend in,Security men were trying to blend in with the crowd.,"['if someone or something blends in, they are similar to the other people, objects, buildings etc around them, and so they seem appropriate or you do not notice them']"
blend into,Her dreams had a way of blending into her waking thoughts.,['to seem to gradually change into something else']
block in,Broad flat brushes are useful for blocking in colour.,"['to completely cover a large area of something such as a painting with one colour', 'to plan something large or complicated by organizing your general ideas for it', 'to stop someone from moving their car out of a place']"
block in,"His home was a fifth-floor apartment in a modern block in Pimlico, close to Ebury Street where Mozart had once lived.","['to completely cover a large area of something such as a painting with one colour', 'to plan something large or complicated by organizing your general ideas for it', 'to stop someone from moving their car out of a place']"
block off,Snow had blocked off several streets.,"['to completely stop something from happening or progressing', 'to cover or close something completely so that nothing can move through it']"
block out,Previous experience had taught him that having the Fat Man in the background tended to block out the light.,"['same as block in', 'to stop light or sound from reaching something', 'to stop yourself from thinking about or remembering something']"
block out,"The human sphere, willfully insensitive as it was, couldn't entirely block out the presence of supernatural forces in its midst.","['same as block in', 'to stop light or sound from reaching something', 'to stop yourself from thinking about or remembering something']"
block up,We had continual problems with leaves blocking up the gutters.,['same as block']
block up,One end had been blocked up with piled stones.,['same as block']
blot out,Dark clouds overhead had blotted out the sun.,"['to cover something so that you can no longer see it', 'to forget something unpleasant, or to make someone forget an unpleasant memory or feeling']"
blot out,"He must sever all ties of memory and sentimentality, blot out, above all, the insidious tug of longing.","['to cover something so that you can no longer see it', 'to forget something unpleasant, or to make someone forget an unpleasant memory or feeling']"
blot up,With paper towels you can blot any spills up easily.,['same as blot']
blow apart,The book blew apart the myth of their perfect marriage.,"['to destroy something with an explosion', 'to show that an idea is completely false or wrong']"
blow apart,The aircraft was blown apart by a terrorist bomb.,"['to destroy something with an explosion', 'to show that an idea is completely false or wrong']"
blow away,He was totally blown away by it.,"['if something blows away or is blown away, the wind moves it away from you until you cannot see or touch it', 'to defeat someone completely and easily', 'to impress someone very much or make them very excited', 'to kill someone by shooting them']"
blow away,Just a really genuine young lad totally blown away by his own good fortune.,"['if something blows away or is blown away, the wind moves it away from you until you cannot see or touch it', 'to defeat someone completely and easily', 'to impress someone very much or make them very excited', 'to kill someone by shooting them']"
blow down,A sudden gust of wind blew down the fence.,"['if something blows down or is blown down, the wind makes it fall']"
blow down,A big tree had blown down in the storm.,"['if something blows down or is blown down, the wind makes it fall']"
blow in,A cool breeze blew in from the coast.,"['if a window blows in, or if something blows it in, it breaks into pieces that fall inside the building', 'to arrive unexpectedly', 'to come towards you in the air']"
blow in,Charlie and May just blew in for a visit.,"['if a window blows in, or if something blows it in, it breaks into pieces that fall inside the building', 'to arrive unexpectedly', 'to come towards you in the air']"
blow off,An explosion blew one of the wings off the plane.,"['if something blows off or is blown off, the wind makes it come off', 'to behave as if you think someone or something is unimportant', 'to fart', 'to not do something you had agreed or arranged to do', 'to remove and destroy something by shooting it or making it explode']"
blow off,The soldier blew the sniper’s arm off.,"['if something blows off or is blown off, the wind makes it come off', 'to behave as if you think someone or something is unimportant', 'to fart', 'to not do something you had agreed or arranged to do', 'to remove and destroy something by shooting it or making it explode']"
blow out,They’ve blown out every team they’ve played this season.,"['if a storm blows itself out, it ends', 'if a window blows out, or if something blows it out, it breaks into pieces that fall outside the building', 'if you blow out a flame, or if it blows out, it stops burning because you blow on it or because of the wind', 'same as blow', 'to defeat someone easily']"
blow out,He blew out all 60 candles on his birthday cake.,"['if a storm blows itself out, it ends', 'if a window blows out, or if something blows it out, it breaks into pieces that fall outside the building', 'if you blow out a flame, or if it blows out, it stops burning because you blow on it or because of the wind', 'same as blow', 'to defeat someone easily']"
blow over,"It was a major scandal, and we all hoped it would soon blow over.","['if a dangerous or embarrassing situation blows over, people stop worrying about it and soon forget about it', 'if a storm blows over, it ends', 'if something blows over or is blown over, the wind makes it fall']"
blow over,You'd be surprised how long winter viruses can take to blow over.,"['if a dangerous or embarrassing situation blows over, people stop worrying about it and soon forget about it', 'if a storm blows over, it ends', 'if something blows over or is blown over, the wind makes it fall']"
blow up,They had blown up the picture to make a huge poster of his face.,"['if a serious argument or problem blows up, it begins suddenly', 'if a storm or strong wind blows up, it suddenly starts', 'if something blows up, or if someone blows something up, it explodes and is destroyed', 'if your plans blow up in your face, they do not happen as you expected and cause a lot of problems', 'to fill something with air or gas', 'to make a photograph bigger', 'to suddenly become angry and shout at someone']"
blow up,We blew up lots of balloons and hung them around the room.,"['if a serious argument or problem blows up, it begins suddenly', 'if a storm or strong wind blows up, it suddenly starts', 'if something blows up, or if someone blows something up, it explodes and is destroyed', 'if your plans blow up in your face, they do not happen as you expected and cause a lot of problems', 'to fill something with air or gas', 'to make a photograph bigger', 'to suddenly become angry and shout at someone']"
board off,Part of the garage had been boarded off during building works.,['to hide something by putting wooden boards over or around it']
board out,The children were boarded out with foster parents.,['to arrange for a person or animal to stay with someone who is paid to look after them for a period of time']
board over,They boarded over all the old fireplaces.,['to cover something with wooden boards']
board up,All the windows were either broken or boarded up.,['to cover a window or door with wooden boards']
bob up,A head bobbed up from behind the fence.,['to move up and come into view with a short quick movement']
bog down,"She said she'd prefer to be with her Ma and her Da, and his mates and her friends, and not hidin' in a soddin ' bog down south.","['to be or become so involved with one particular thing that you cannot make any progress', 'to be or become stuck in soft wet ground']"
bog down,Try not to get bogged down in unnecessary detail.,"['to be or become so involved with one particular thing that you cannot make any progress', 'to be or become stuck in soft wet ground']"
boil away,Boil away about a third of the sauce.,"['if a liquid boils away, or if you boil it away, it disappears and turns to gas after reaching a very high temperature']"
boil away,"Remove lid and boil away liquid, pushing veg to the side.","['if a liquid boils away, or if you boil it away, it disappears and turns to gas after reaching a very high temperature']"
boil down,I wondered how forty years of life could suddenly boil down to a lesson in triage.,"['to become smaller in quantity after cooking because some of the liquid has turned to gas, or to make something do this', 'to make something such as a piece of writing shorter by giving only the basic, most important facts']"
boil down,"`You must realise that, in your predicament, when you have too much fear, even the infinite outcomes boil down to two basic ones.","['to become smaller in quantity after cooking because some of the liquid has turned to gas, or to make something do this', 'to make something such as a piece of writing shorter by giving only the basic, most important facts']"
boil down to,"Let me tell you, any big case that can be boiled down to one phrase is always a winner.",['to be the main reason for something or the most basic part of something']
boil down to,"Once you cut through the various interpretations of the size of the loan scheme and the value of the taxpayers' holdings, it boils down to one figure.",['to be the main reason for something or the most basic part of something']
boil over,Sometimes the frustration boils over.,"['if a liquid boils over, it rises so much when it boils that it flows over the top of the container that it is in', 'if a situation or feeling boils over, people cannot control their anger and start to fight or argue']"
boil over,He thinks his family and friends have turned I against him and his anger boils over.,"['if a liquid boils over, it rises so much when it boils that it flows over the top of the container that it is in', 'if a situation or feeling boils over, people cannot control their anger and start to fight or argue']"
boil up,Anger was boiling up inside me.,"['if a situation or feeling boils up, people start to feel angry', 'to heat liquid, or to heat something in a liquid, until it boils']"
boil up,"As if it would boil up, bursting forth suddenly: scorching, burning up not only her but all around her.","['if a situation or feeling boils up, people start to feel angry', 'to heat liquid, or to heat something in a liquid, until it boils']"
